#Digilent WaveForms Oscilloscope Acquisition
#Device Name: EExplorer
#Serial Number: SN:210151450455
#Date Time: 2019-03-07 09:37:34.366
#Sample rate: 400000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 1.59648 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 2 V/div Offset: 0 V

Time (s),Channel 1 (V)
-0.01024,0.217454
-0.0102375,0.217302
-0.010235,0.215987
-0.0102325,0.213912
-0.01023,0.211484
-0.0102275,0.208954
-0.010225,0.205918
-0.0102225,0.204299
-0.01022,0.202781
-0.0102175,0.20182
-0.010215,0.199999
-0.0102125,0.199391
-0.01021,0.197317
-0.0102075,0.195344
-0.010205,0.196254
-0.0102025,0.194939
-0.0102,0.192662
-0.0101975,0.18907
-0.010195,0.188564
-0.0101925,0.187299
-0.01019,0.18573
-0.0101875,0.184617
-0.010185,0.183909
-0.0101825,0.181379
-0.01018,0.180772
-0.0101775,0.178647
-0.010175,0.176067
-0.0101725,0.175156
-0.01017,0.173638
-0.0101675,0.172727
-0.010165,0.171209
-0.0101625,0.170248
-0.01016,0.168224
-0.0101575,0.166352
-0.010155,0.16529
-0.0101525,0.162456
-0.01015,0.159977
-0.0101475,0.159825
-0.010145,0.158712
-0.0101425,0.158054
-0.01014,0.155474
-0.0101375,0.152388
-0.010135,0.152995
-0.0101325,0.152033
-0.01013,0.150212
-0.0101275,0.149807
-0.010125,0.149048
-0.0101225,0.146012
-0.01012,0.144242
-0.0101175,0.141611
-0.010115,0.140599
-0.0101125,0.140801
-0.01011,0.139637
-0.0101075,0.138676
-0.010105,0.136905
-0.0101025,0.136905
-0.0101,0.136652
-0.0100975,0.134375
-0.010095,0.130783
-0.0100925,0.130479
-0.01009,0.130631
-0.0100875,0.129012
-0.010085,0.127342
-0.0100825,0.125572
-0.01008,0.125572
-0.0100775,0.12542
-0.010075,0.124104
-0.0100725,0.121878
-0.01007,0.118539
-0.0100675,0.117324
-0.010065,0.116009
-0.0100625,0.114137
-0.01006,0.113428
-0.0100575,0.113428
-0.010055,0.113378
-0.0100525,0.112872
-0.01005,0.111405
-0.0100475,0.108571
-0.010045,0.108268
-0.0100425,0.106041
-0.01004,0.105282
-0.0100375,0.104675
-0.010035,0.102955
-0.0100325,0.103056
-0.01003,0.100881
-0.0100275,0.0979461
-0.010025,0.0971871
-0.0100225,0.0966811
-0.01002,0.0954668
-0.0100175,0.0943031
-0.010015,0.0933418
-0.0100125,0.0917227
-0.01001,0.0926335
-0.0100075,0.0915203
-0.010005,0.0909132
-0.0100025,0.0892941
-0.01,0.0902554
-0.0099975,0.0893447
-0.009995,0.0878268
-0.0099925,0.0871185
-0.00999,0.0868655
-0.0099875,0.0847405
-0.009985,0.0821095
-0.0099825,0.0810975
-0.00998,0.0811481
-0.0099775,0.0788207
-0.009975,0.0773534
-0.0099725,0.0770498
-0.00997,0.0772016
-0.0099675,0.0756331
-0.009965,0.0744694
-0.0099625,0.0735587
-0.00996,0.0718384
-0.0099575,0.0693086
-0.009955,0.0665764
-0.0099525,0.0672848
-0.00995,0.0673354
-0.0099475,0.0677907
-0.009945,0.0681449
