#Digilent WaveForms Oscilloscope Acquisition
#Device Name: EExplorer
#Serial Number: SN:210151450455
#Date Time: 2019-03-08 09:27:25.818

Time (s),N=2 (V)
-0.01024,2.88084
-0.0102375,2.87565
-0.010235,2.8695
-0.0102325,2.86444
-0.01023,2.86197
-0.0102275,2.85967
-0.010225,2.85598
-0.0102225,2.84999
-0.01022,2.8455
-0.0102175,2.84311
-0.010215,2.83979
-0.0102125,2.83509
-0.01021,2.83198
-0.0102075,2.8306
-0.010205,2.827
-0.0102025,2.82324
-0.0102,2.81696
-0.0101975,2.81016
-0.010195,2.80474
-0.0101925,2.80097
-0.01019,2.79729
-0.0101875,2.7913
-0.010185,2.7881
-0.0101825,2.78579
-0.01018,2.78081
-0.0101775,2.77604
-0.010175,2.77069
-0.0101725,2.76592
-0.01017,2.76187
-0.0101675,2.75523
-0.010165,2.75103
-0.0101625,2.74706
-0.01016,2.74589
-0.0101575,2.74236
-0.010155,2.73564
-0.0101525,2.72921
-0.01015,2.72573
-0.0101475,2.72111
-0.010145,2.71504
-0.0101425,2.70832
-0.01014,2.70577
-0.0101375,2.70318
-0.010135,2.69719
-0.0101325,2.6914
-0.01013,2.68764
-0.0101275,2.6859
-0.010125,2.68035
-0.0101225,2.6742
-0.01012,2.67173
-0.0101175,2.66813
-0.010115,2.66372
-0.0101125,2.65902
-0.01011,2.65331
-0.0101075,2.64789
-0.010105,2.64413
-0.0101025,2.63914
-0.0101,2.63178
-0.0100975,2.62757
-0.010095,2.62555
-0.0100925,2.62093
-0.01009,2.61551
-0.0100875,2.6085
-0.010085,2.60365
-0.0100825,2.60061
-0.01008,2.59369
-0.0100775,2.58717
-0.010075,2.58082
-0.0100725,2.57697
-0.01007,2.57365
-0.0100675,2.56831
-0.010065,2.56289
-0.0100625,2.55718
-0.01006,2.55176
-0.0100575,2.5467
-0.010055,2.54164
-0.0100525,2.53528
-0.01005,2.53144
-0.0100475,2.52747
-0.010045,2.51852
-0.0100425,2.50933
-0.01004,2.50189
-0.0100375,2.49804
-0.010035,2.49278
-0.0100325,2.48699
-0.01003,2.48517
-0.0100275,2.48128
-0.010025,2.47586
-0.0100225,2.4721
