#Digilent WaveForms Oscilloscope Acquisition
#Device Name: EExplorer
#Serial Number: SN:210151450455
#Date Time: 2019-03-05 08:16:51.416

Time (s),Channel 1 (V)
-0.0102399,0.447118
-0.0102374,0.426
-0.0102349,0.426
-0.0102324,0.426
-0.0102299,0.436559
-0.0102274,0.447118
-0.0102249,0.447118
-0.0102224,0.447118
-0.0102199,0.447118
-0.0102174,0.447118
-0.0102149,0.447118
-0.0102124,0.447118
-0.0102099,0.447118
-0.0102074,0.447118
-0.0102049,0.447118
-0.0102024,0.447118
-0.0101999,0.447118
-0.0101974,0.447118
-0.0101949,0.447118
-0.0101924,0.457678
-0.0101899,0.468237
-0.0101874,0.468237
-0.0101849,0.468237
-0.0101824,0.468237
-0.0101799,0.468237
-0.0101774,0.468237
-0.0101749,0.457678
-0.0101724,0.457678
-0.0101699,0.468237
-0.0101674,0.468237
-0.0101649,0.468237
-0.0101624,0.468237
-0.0101599,0.468237
-0.0101574,0.478796
-0.0101549,0.478796
-0.0101524,0.489355
-0.0101499,0.478796
-0.0101474,0.478796
-0.0101449,0.489355
-0.0101424,0.489355
-0.0101399,0.489355
-0.0101374,0.489355
-0.0101349,0.489355
-0.0101324,0.489355
-0.0101299,0.489355
-0.0101274,0.478796
-0.0101249,0.478796
-0.0101224,0.478796
-0.0101199,0.478796
-0.0101174,0.478796
-0.0101149,0.489355
-0.0101124,0.499915
-0.0101099,0.499915
-0.0101074,0.510474
-0.0101049,0.499915
-0.0101024,0.499915
-0.0100999,0.499915
-0.0100974,0.489355
-0.0100949,0.489355
-0.0100924,0.489355
-0.0100899,0.499915
-0.0100874,0.499915
-0.0100849,0.499915
-0.0100824,0.510474
-0.0100799,0.510474
-0.0100774,0.510474
-0.0100749,0.521033
-0.0100724,0.510474
-0.0100699,0.510474
-0.0100674,0.521033
-0.0100649,0.521033
-0.0100624,0.510474
-0.0100599,0.510474
-0.0100574,0.521033
-0.0100549,0.521033
-0.0100524,0.521033
-0.0100499,0.521033
-0.0100474,0.521033
-0.0100449,0.521033
-0.0100424,0.521033
-0.0100399,0.531592
-0.0100374,0.531592
-0.0100349,0.531592
-0.0100324,0.531592
-0.0100299,0.521033
-0.0100274,0.521033
-0.0100249,0.531592
-0.0100224,0.542151
-0.0100199,0.531592
-0.0100174,0.531592
-0.0100149,0.531592
-0.0100124,0.531592
-0.0100099,0.531592
-0.0100074,0.531592
-0.0100049,0.531592
-0.0100024,0.531592
-0.00999992,0.542151
-0.00999742,0.542151
-0.00999492,0.542151
-0.00999242,0.542151
-0.00998992,0.542151
-0.00998742,0.542151
-0.00998492,0.552711
-0.00998242,0.552711
-0.00997992,0.552711
-0.00997742,0.542151
-0.00997492,0.542151
-0.00997242,0.552711
-0.00996992,0.56327
-0.00996742,0.56327
-0.00996492,0.56327
-0.00996242,0.56327
-0.00995992,0.56327
-0.00995742,0.56327
-0.00995492,0.552711
-0.00995242,0.542151
-0.00994992,0.56327
-0.00994742,0.56327
-0.00994492,0.56327
-0.00994242,0.56327
-0.00993992,0.573829
-0.00993742,0.573829
-0.00993492,0.573829
-0.00993242,0.573829
-0.00992992,0.56327
-0.00992742,0.573829
-0.00992492,0.584388
-0.00992242,0.584388
-0.00991992,0.573829
-0.00991742,0.573829
-0.00991492,0.573829
-0.00991242,0.573829
-0.00990992,0.573829
-0.00990742,0.584388
-0.00990492,0.584388
-0.00990242,0.573829
-0.00989992,0.573829
-0.00989742,0.584388
-0.00989492,0.584388
-0.00989242,0.584388
-0.00988992,0.584388
-0.00988742,0.584388
-0.00988492,0.573829
-0.00988242,0.573829
-0.00987992,0.584388
-0.00987742,0.584388
-0.00987492,0.584388
-0.00987242,0.594948
-0.00986992,0.594948
-0.00986742,0.584388
-0.00986492,0.594948
-0.00986242,0.594948
-0.00985992,0.594948
-0.00985742,0.594948
-0.00985492,0.594948
-0.00985242,0.594948
-0.00984992,0.616066
-0.00984742,0.616066
-0.00984492,0.605507
-0.00984242,0.605507
-0.00983992,0.605507
-0.00983742,0.616066
-0.00983492,0.616066
-0.00983242,0.616066
-0.00982992,0.626625
-0.00982742,0.626625
-0.00982492,0.616066
-0.00982242,0.605507
-0.00981992,0.616066
-0.00981742,0.616066
-0.00981492,0.616066
-0.00981242,0.605507
-0.00980992,0.616066
-0.00980742,0.616066
-0.00980492,0.616066
-0.00980242,0.616066
-0.00979992,0.616066
-0.00979742,0.626625
-0.00979492,0.626625
-0.00979242,0.626625
-0.00978992,0.626625
-0.00978742,0.626625
-0.00978492,0.637185
-0.00978242,0.626625
-0.00977992,0.637185
-0.00977742,0.637185
-0.00977492,0.637185
-0.00977242,0.647744
-0.00976992,0.637185
-0.00976742,0.637185
-0.00976492,0.637185
-0.00976242,0.637185
-0.00975992,0.637185
-0.00975742,0.647744
-0.00975492,0.647744
-0.00975242,0.647744
-0.00974992,0.647744
-0.00974742,0.658303
-0.00974492,0.658303
-0.00974242,0.668862
-0.00973992,0.658303
-0.00973742,0.658303
-0.00973492,0.658303
-0.00973242,0.658303
-0.00972992,0.658303
-0.00972742,0.658303
-0.00972492,0.658303
-0.00972242,0.668862
-0.00971992,0.668862
-0.00971742,0.658303
-0.00971492,0.658303
-0.00971242,0.647744
-0.00970992,0.658303
-0.00970742,0.658303
-0.00970492,0.658303
-0.00970242,0.668862
-0.00969992,0.679422
-0.00969742,0.679422
-0.00969492,0.668862
-0.00969242,0.668862
-0.00968992,0.668862
-0.00968742,0.679422
-0.00968492,0.679422
-0.00968242,0.668862
-0.00967992,0.668862
-0.00967742,0.668862
-0.00967492,0.679422
-0.00967242,0.679422
-0.00966992,0.668862
-0.00966742,0.668862
-0.00966492,0.668862
-0.00966242,0.668862
-0.00965992,0.668862
-0.00965742,0.679422
-0.00965492,0.679422
-0.00965242,0.679422
-0.00964992,0.679422
-0.00964742,0.679422
-0.00964492,0.70054
-0.00964242,0.711099
-0.00963992,0.711099
-0.00963742,0.711099
-0.00963492,0.711099
-0.00963242,0.711099
-0.00962992,0.711099
-0.00962742,0.70054
-0.00962492,0.70054
-0.00962242,0.70054
-0.00961992,0.70054
-0.00961742,0.70054
-0.00961492,0.70054
-0.00961242,0.711099
-0.00960992,0.70054
-0.00960742,0.70054
-0.00960492,0.70054
-0.00960242,0.70054
-0.00959992,0.711099
-0.00959742,0.711099
-0.00959492,0.711099
-0.00959242,0.721659
-0.00958992,0.721659
-0.00958742,0.721659
-0.00958492,0.721659
-0.00958242,0.721659
-0.00957992,0.721659
-0.00957742,0.721659
-0.00957492,0.721659
-0.00957242,0.721659
-0.00956992,0.721659
-0.00956742,0.721659
-0.00956492,0.721659
-0.00956242,0.721659
-0.00955992,0.721659
-0.00955742,0.721659
-0.00955492,0.711099
-0.00955242,0.721659
-0.00954992,0.721659
-0.00954742,0.732218
-0.00954492,0.732218
-0.00954242,0.732218
-0.00953992,0.732218
-0.00953742,0.732218
-0.00953492,0.753336
-0.00953242,0.753336
-0.00952992,0.742777
-0.00952742,0.732218
-0.00952492,0.732218
-0.00952242,0.721659
-0.00951992,0.732218
-0.00951742,0.732218
-0.00951492,0.753336
-0.00951242,0.753336
-0.00950992,0.753336
-0.00950742,0.753336
-0.00950492,0.753336
-0.00950242,0.763895
-0.00949992,0.753336
-0.00949742,0.753336
-0.00949492,0.753336
-0.00949242,0.753336
-0.00948992,0.763895
-0.00948742,0.763895
-0.00948492,0.763895
-0.00948242,0.753336
-0.00947992,0.753336
-0.00947742,0.763895
-0.00947492,0.753336
-0.00947242,0.763895
-0.00946992,0.774455
-0.00946742,0.774455
-0.00946492,0.774455
-0.00946242,0.774455
-0.00945992,0.774455
-0.00945742,0.774455
-0.00945492,0.774455
-0.00945242,0.763895
-0.00944992,0.774455
-0.00944742,0.774455
-0.00944492,0.774455
-0.00944242,0.774455
-0.00943992,0.774455
-0.00943742,0.774455
-0.00943492,0.785014
-0.00943242,0.774455
-0.00942992,0.785014
-0.00942742,0.774455
-0.00942492,0.774455
-0.00942242,0.785014
-0.00941992,0.774455
-0.00941742,0.785014
-0.00941492,0.785014
-0.00941242,0.785014
-0.00940992,0.785014
-0.00940742,0.785014
-0.00940492,0.795573
-0.00940242,0.795573
-0.00939992,0.795573
-0.00939742,0.795573
-0.00939492,0.795573
-0.00939242,0.806132
-0.00938992,0.806132
-0.00938742,0.795573
-0.00938492,0.795573
-0.00938242,0.806132
-0.00937992,0.806132
-0.00937742,0.795573
-0.00937492,0.795573
-0.00937242,0.816692
-0.00936992,0.816692
-0.00936742,0.816692
-0.00936492,0.816692
-0.00936242,0.816692
-0.00935992,0.816692
-0.00935742,0.816692
-0.00935492,0.816692
-0.00935242,0.827251
-0.00934992,0.827251
-0.00934742,0.827251
-0.00934492,0.816692
-0.00934242,0.816692
-0.00933992,0.816692
-0.00933742,0.827251
-0.00933492,0.827251
-0.00933242,0.827251
-0.00932992,0.827251
-0.00932742,0.83781
-0.00932492,0.83781
-0.00932242,0.83781
-0.00931992,0.83781
-0.00931742,0.83781
-0.00931492,0.827251
-0.00931242,0.827251
-0.00930992,0.827251
-0.00930742,0.827251
-0.00930492,0.83781
-0.00930242,0.83781
-0.00929992,0.83781
-0.00929742,0.83781
-0.00929492,0.83781
-0.00929242,0.83781
-0.00928992,0.83781
-0.00928742,0.83781
-0.00928492,0.83781
-0.00928242,0.848369
-0.00927992,0.848369
-0.00927742,0.848369
-0.00927492,0.848369
-0.00927242,0.858929
-0.00926992,0.858929
-0.00926742,0.848369
-0.00926492,0.858929
-0.00926242,0.858929
-0.00925992,0.858929
-0.00925742,0.848369
-0.00925492,0.848369
-0.00925242,0.848369
-0.00924992,0.858929
-0.00924742,0.858929
-0.00924492,0.869488
-0.00924242,0.869488
-0.00923992,0.858929
-0.00923742,0.858929
-0.00923492,0.858929
-0.00923242,0.869488
-0.00922992,0.869488
-0.00922742,0.880047
-0.00922492,0.880047
-0.00922242,0.880047
-0.00921992,0.880047
-0.00921742,0.869488
-0.00921492,0.869488
-0.00921242,0.869488
-0.00920992,0.869488
-0.00920742,0.880047
-0.00920492,0.880047
-0.00920242,0.880047
-0.00919992,0.890606
-0.00919742,0.890606
-0.00919492,0.880047
-0.00919242,0.880047
-0.00918992,0.890606
-0.00918742,0.890606
-0.00918492,0.880047
-0.00918242,0.890606
-0.00917992,0.901166
-0.00917742,0.911725
-0.00917492,0.901166
-0.00917242,0.901166
-0.00916992,0.890606
-0.00916742,0.890606
-0.00916492,0.901166
-0.00916242,0.901166
-0.00915992,0.901166
-0.00915742,0.901166
-0.00915492,0.901166
-0.00915242,0.901166
-0.00914992,0.901166
-0.00914742,0.901166
-0.00914492,0.901166
-0.00914242,0.901166
-0.00913992,0.911725
-0.00913742,0.911725
-0.00913492,0.911725
-0.00913242,0.922284
-0.00912992,0.922284
-0.00912742,0.922284
-0.00912492,0.922284
-0.00912242,0.911725
-0.00911992,0.911725
-0.00911742,0.911725
-0.00911492,0.911725
-0.00911242,0.922284
-0.00910992,0.932843
-0.00910742,0.932843
-0.00910492,0.922284
-0.00910242,0.922284
-0.00909992,0.922284
-0.00909742,0.922284
-0.00909492,0.922284
-0.00909242,0.911725
-0.00908992,0.922284
-0.00908742,0.932843
-0.00908492,0.932843
-0.00908242,0.932843
-0.00907992,0.932843
-0.00907742,0.943403
-0.00907492,0.943403
-0.00907242,0.943403
-0.00906992,0.943403
-0.00906742,0.943403
-0.00906492,0.943403
-0.00906242,0.943403
-0.00905992,0.943403
-0.00905742,0.943403
-0.00905492,0.953962
-0.00905242,0.943403
-0.00904992,0.943403
-0.00904742,0.943403
-0.00904492,0.943403
-0.00904242,0.943403
-0.00903992,0.943403
-0.00903742,0.953962
-0.00903492,0.964521
-0.00903242,0.964521
-0.00902992,0.964521
-0.00902742,0.964521
-0.00902492,0.964521
-0.00902242,0.964521
-0.00901992,0.964521
-0.00901742,0.964521
-0.00901492,0.953962
-0.00901242,0.953962
-0.00900992,0.943403
-0.00900742,0.953962
-0.00900492,0.964521
-0.00900242,0.97508
-0.00899992,0.98564
-0.00899742,0.98564
-0.00899492,0.97508
-0.00899242,0.97508
-0.00898992,0.98564
-0.00898742,0.98564
-0.00898492,0.98564
-0.00898242,0.98564
-0.00897992,0.98564
-0.00897742,0.98564
-0.00897492,0.98564
-0.00897242,0.98564
-0.00896992,0.98564
-0.00896742,0.97508
