#Digilent WaveForms Oscilloscope Acquisition
#Device Name: EExplorer
#Serial Number: SN:210151450455
#Date Time: 2019-02-01 09:32:42.824
#Sample rate: 2e+06Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Either Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 200 mV/div Offset: 0 V
#Wavegen Channel 1: Running
#Mode: Simple
#Type: DC
#Offset: 0 V

Calibration
Zero DC offset
Measured: ~-130mV
Time (s),Channel 1 (V)
0.0007685,-0.118732
0.000769,-0.127324
0.0007695,-0.125176
0.00077,-0.123028
0.0007705,-0.125176
0.000771,-0.123028
0.0007715,-0.13162
0.000772,-0.12088
0.0007725,-0.127324
0.000773,-0.129472
0.0007735,-0.13162
0.000774,-0.123028
0.0007745,-0.123028
0.000775,-0.127324
0.0007755,-0.12088
0.000776,-0.127324
0.0007765,-0.12088
0.000777,-0.13162
0.0007775,-0.123028
0.000778,-0.127324
0.0007785,-0.118732
0.000779,-0.129472
0.0007795,-0.125176
0.00078,-0.123028
0.0007805,-0.116583
0.000781,-0.127324
0.0007815,-0.129472
0.000782,-0.125176
0.0007825,-0.125176
0.000783,-0.127324
0.0007835,-0.13162
0.000784,-0.12088
0.0007845,-0.125176
0.000785,-0.123028
0.0007855,-0.13162
0.000786,-0.123028
0.0007865,-0.125176
0.000787,-0.123028
0.0007875,-0.127324
0.000788,-0.125176
0.0007885,-0.123028
0.000789,-0.135916
0.0007895,-0.127324
0.00079,-0.13162
0.0007905,-0.118732
0.000791,-0.129472
0.0007915,-0.127324
0.000792,-0.133768
0.0007925,-0.127324
0.000793,-0.129472
0.0007935,-0.127324
0.000794,-0.125176
0.0007945,-0.127324
0.000795,-0.125176
0.0007955,-0.129472
0.000796,-0.123028
0.0007965,-0.127324
0.000797,-0.12088
0.0007975,-0.13162
0.000798,-0.123028
0.0007985,-0.127324
0.000799,-0.125176
0.0007995,-0.129472
0.0008,-0.123028
0.0008005,-0.127324
0.000801,-0.13162
0.0008015,-0.127324
0.000802,-0.13162
0.0008025,-0.123028
0.000803,-0.125176
0.0008035,-0.127324
0.000804,-0.127324
0.0008045,-0.125176
0.000805,-0.125176
0.0008055,-0.129472
0.000806,-0.127324
0.0008065,-0.129472
0.000807,-0.123028
0.0008075,-0.127324
0.000808,-0.123028
0.0008085,-0.13162
0.000809,-0.123028
0.0008095,-0.13162
0.00081,-0.118732
0.0008105,-0.127324
0.000811,-0.123028
0.0008115,-0.127324
0.000812,-0.125176
0.0008125,-0.123028
0.000813,-0.129472
0.0008135,-0.127324
0.000814,-0.127324
0.0008145,-0.129472
0.000815,-0.129472
0.0008155,-0.125176
0.000816,-0.129472
0.0008165,-0.123028
0.000817,-0.129472
0.0008175,-0.127324
0.000818,-0.129472
0.0008185,-0.129472
0.000819,-0.127324
0.0008195,-0.133768
0.00082,-0.125176
0.0008205,-0.129472
0.000821,-0.125176
0.0008215,-0.13162
0.000822,-0.123028
0.0008225,-0.129472
0.000823,-0.125176
0.0008235,-0.13162
0.000824,-0.125176
0.0008245,-0.127324
0.000825,-0.127324
0.0008255,-0.127324
0.000826,-0.129472
0.0008265,-0.125176
0.000827,-0.129472
0.0008275,-0.125176
0.000828,-0.13162
0.0008285,-0.125176
0.000829,-0.127324
0.0008295,-0.127324
0.00083,-0.127324
0.0008305,-0.127324
0.000831,-0.125176
0.0008315,-0.129472
0.000832,-0.125176
0.0008325,-0.129472
0.000833,-0.123028
0.0008335,-0.13162
0.000834,-0.123028
0.0008345,-0.127324
0.000835,-0.123028
0.0008355,-0.129472
0.000836,-0.125176
0.0008365,-0.127324
0.000837,-0.125176
0.0008375,-0.129472
0.000838,-0.13162
0.0008385,-0.125176
0.000839,-0.13162
0.0008395,-0.127324
0.00084,-0.135916
0.0008405,-0.127324
